environment_id,family,dimension,map_index,seed_index,seed,algorithm,checkpoint,best_cost_mm
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT,100,nan
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT,250,nan
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT,500,2265.8695857952075
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT,1000,2265.8695857952075
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT,2000,2265.8695857952075
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT,3000,2265.8695857952075
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT,4000,2265.8695857952075
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT,5000,2265.8695857952075
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT-Connect,100,nan
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT-Connect,250,2066.82802732232
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT-Connect,500,2066.82802732232
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT-Connect,1000,2066.82802732232
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT-Connect,2000,2066.82802732232
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT-Connect,3000,2066.82802732232
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT-Connect,4000,2066.82802732232
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT-Connect,5000,2066.82802732232
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT*,100,nan
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT*,250,nan
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT*,500,1964.6562383272142
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT*,1000,1959.9796000108586
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT*,2000,1958.9427319517772
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT*,3000,1958.9427319517772
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT*,4000,1958.9427319517772
evaluation-2d-00,uniform_clutter,2,0,0,20000000,RRT*,5000,1957.2860919171599
evaluation-2d-00,uniform_clutter,2,0,0,20000000,Informed-RRT*,100,nan
evaluation-2d-00,uniform_clutter,2,0,0,20000000,Informed-RRT*,250,nan
evaluation-2d-00,uniform_clutter,2,0,0,20000000,Informed-RRT*,500,1963.0582040259903
evaluation-2d-00,uniform_clutter,2,0,0,20000000,Informed-RRT*,1000,1959.3777965452703
evaluation-2d-00,uniform_clutter,2,0,0,20000000,Informed-RRT*,2000,1951.954393656473
evaluation-2d-00,uniform_clutter,2,0,0,20000000,Informed-RRT*,3000,1927.897387761986
evaluation-2d-00,uniform_clutter,2,0,0,20000000,Informed-RRT*,4000,1926.7201664272143
evaluation-2d-00,uniform_clutter,2,0,0,20000000,Informed-RRT*,5000,1926.6499152568254
evaluation-2d-00,uniform_clutter,2,0,0,20000000,Dynamic-RRT,100,nan
evaluation-2d-00,uniform_clutter,2,0,0,20000000,Dynamic-RRT,250,nan
evaluation-2d-00,uniform_clutter,2,0,0,20000000,Dynamic-RRT,500,nan
evaluation-2d-00,uniform_clutter,2,0,0,20000000,Dynamic-RRT,1000,nan
evaluation-2d-00,uniform_clutter,2,0,0,20000000,Dynamic-RRT,2000,2459.345804331291
evaluation-2d-00,uniform_clutter,2,0,0,20000000,Dynamic-RRT,3000,2459.345804331291
evaluation-2d-00,uniform_clutter,2,0,0,20000000,Dynamic-RRT,4000,2459.345804331291
evaluation-2d-00,uniform_clutter,2,0,0,20000000,Dynamic-RRT,5000,2459.345804331291
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT,100,nan
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT,250,nan
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT,500,2627.616127963768
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT,1000,2396.5425853327506
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT,2000,2318.8064565259315
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT,3000,2249.1806805609217
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT,4000,2084.694891332641
evaluation-2d-00,uniform_clutter,2,0,0,20000000,SC-RRT,5000,2035.1718536324838
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT-Connect,100,nan
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT-Connect,250,2237.230004447409
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT-Connect,500,2237.230004447409
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT-Connect,1000,2237.230004447409
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT-Connect,2000,2237.230004447409
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT-Connect,3000,2233.8723149560838
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT-Connect,4000,2233.8723149560838
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT-Connect,5000,2233.8723149560838
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT*,100,nan
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT*,250,nan
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT*,500,nan
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT*,1000,nan
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT*,2000,1978.9683479263354
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT*,3000,1965.6151864532596
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT*,4000,1951.7183077085726
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT*,5000,1950.6624538436156
evaluation-2d-00,uniform_clutter,2,0,1,20000001,Informed-RRT*,100,nan
evaluation-2d-00,uniform_clutter,2,0,1,20000001,Informed-RRT*,250,nan
evaluation-2d-00,uniform_clutter,2,0,1,20000001,Informed-RRT*,500,nan
evaluation-2d-00,uniform_clutter,2,0,1,20000001,Informed-RRT*,1000,nan
evaluation-2d-00,uniform_clutter,2,0,1,20000001,Informed-RRT*,2000,1968.2202457628316
evaluation-2d-00,uniform_clutter,2,0,1,20000001,Informed-RRT*,3000,1930.3735631450404
evaluation-2d-00,uniform_clutter,2,0,1,20000001,Informed-RRT*,4000,1926.3464866327145
evaluation-2d-00,uniform_clutter,2,0,1,20000001,Informed-RRT*,5000,1926.165997423
evaluation-2d-00,uniform_clutter,2,0,1,20000001,Dynamic-RRT,100,nan
evaluation-2d-00,uniform_clutter,2,0,1,20000001,Dynamic-RRT,250,nan
evaluation-2d-00,uniform_clutter,2,0,1,20000001,Dynamic-RRT,500,2236.4235232257383
evaluation-2d-00,uniform_clutter,2,0,1,20000001,Dynamic-RRT,1000,2236.4235232257383
evaluation-2d-00,uniform_clutter,2,0,1,20000001,Dynamic-RRT,2000,2236.4235232257383
evaluation-2d-00,uniform_clutter,2,0,1,20000001,Dynamic-RRT,3000,2236.4235232257383
evaluation-2d-00,uniform_clutter,2,0,1,20000001,Dynamic-RRT,4000,2236.4235232257383
evaluation-2d-00,uniform_clutter,2,0,1,20000001,Dynamic-RRT,5000,2236.4235232257383
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT,100,nan
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT,250,nan
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT,500,2071.700529961738
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT,1000,2066.820083226978
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT,2000,2033.7216452562093
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT,3000,2003.66005369203
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT,4000,1999.0643324359198
evaluation-2d-00,uniform_clutter,2,0,1,20000001,SC-RRT,5000,1978.648051522551
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT,100,nan
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT,250,nan
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT,500,nan
evaluation-2d-00,uniform_clutter,2,0,1,20000001,RRT,1000,nan
